user,item,status
6181286870140321800,2090517,5
6181286870140321800,6067942303912165380,4
6181286870140321800,6110720863072419843,5
6181286870140321800,2090478,3
2073000,2090517,4
2073000,6106379252393836549,4
2073000,6144063172425809923,4
6153508120686493700,2004819,4
6169121590861627400,2090517,4
6169709385447637000,6096599297501954053,4
6169709385447637000,6184593729785954307,4
6169710269715972100,2090517,4
6097941150402871301,6097941149673062405,4
6141514074812317701,2004819,4
6097939893793587203,6108459960125882373,4
6170850698352132103,6096600386666233859,4
6141437298291507204,2004819,4
6097941149673062405,6097941150021189635,4
6097941149673062405,6097941150402871301,4
6169406263525376005,2090543,4
6470486843300249606,6067942303912165380,4
6470486843300249606,2090478,4
6470486843300249606,6211452359277543429,4
6097939887086895107,6108459960125882373,4
6097941138038063107,6099765861231362052,4
6144700938247471107,2004819,4
6169426328131993607,2004819,4
6179897190278758407,6080630147013148675,4
6184593729785954307,2004819,4
6184593729785954307,6067942303912165380,4
6184593729785954307,6080630147013148675,4
6184593729785954307,6095516683504451588,4
6184593729785954307,6097941151375949827,4
6184593729785954307,6098301119102976004,4
6184593729785954307,6108460058016743429,4
6184593729785954307,6165838997655388167,4
6184593729785954307,6169709385447637000,4
6184593729785954307,6180260011466293253,4
6184593729785954307,6181649107870810117,4
6184593729785954307,6184622140705210376,4
6184593729785954307,6211440366961295368,4
6184593729785954307,6211452359277543429,4
6184593729785954307,6212173235241353221,4
6184593729785954307,6258165581950746629,4
6184593729785954307,6291536900985454595,4
6184593729785954307,6293623874588246021,4
6184593729785954307,6294004642984493061,4
6184593729785954307,6319058295621419015,4
6184593729785954307,6319719221085339654,4
6184593729785954307,6319732347755298821,4
6184593729785954307,6445572420521689096,4
6067939154753224708,2004909,4
6097939894426927108,6108459960125882373,4
6120409007971631108,6096596154248593412,4
6144407530324885508,2004819,4
6144407530324885508,2090517,4
6169711351225647108,2004819,4
2004909,6067939154753224708,4
6097939895685218309,6108459960939577347,4
6120415656052523011,6096596154248593412,4
6096596154248593412,6096599297501954053,4
6096596154248593412,6120150257813684227,4
6096596154248593412,6120151934839029765,4
6096596154248593412,6120409007971631108,4
6096596154248593412,6120411413853765637,4
6096596154248593412,6120415656052523011,4
6096596154248593412,6120421281918615556,4
6096596154248593412,6145770488875450372,4
6096596154248593412,6145774479315304454,4
6096596154248593412,6145775346219220995,4
6096606342213009412,2048180,4
6096606342213009412,2090478,4
6144046029663633413,2004819,4
6170898204205252613,6067942303912165380,4
6170898204205252613,6171129651931381767,4
6097939890345869315,2090550,4
6108460075934810115,6108460076148719621,4
6319058295621419015,6184593729785954307,4
